

0,add, 	0x00, 	4, 	5, 	7, 	0, 	0x20, 	40, 			50, 			90, 		0x00, 	40+50=90
4,add, 	0x00, 	4, 	5, 	7, 	0, 	0x20,-1, 			-1, 			-2, 		0x00,	(-1)+(-1)=-2
8,add, 	0x00, 	4, 	5, 	7, 	0, 	0x20,0, 				46746, 			46746, 		0x00,	46746 + 0 = 46746
12,add, 	0x00, 	4, 	5, 	0, 	0, 	0x20,0, 				46746, 			0, 			0x00,	0 dest reg remains 0
16,add, 	0x00, 	4, 	5, 	31,	0, 	0x20,-300, 			250, 			-50, 		0x00,	-300+250=-50
20,add, 	0x00, 	4, 	5, 	9, 	0, 	0x20,-300, 			-250, 			-550, 		0x00,	-300+250=-550
24,add, 	0x00, 	4, 	5, 	7, 	0, 	0x20, 	2147483647, 	2147483647, 	-2, 		0x2005,	overflow
28,add, 	0x00, 	4, 	5, 	7, 	0, 	0x20, 	-2147483647, 	-2147483647,	2, 			0x2005,	overflow
32,add, 	0x00, 	4, 	5, 	7, 	0, 	0x20, 	-2147483647, 	2147483647, 	0, 			0x00,	-2147483647+2147483647=0
36,add, 	0x00, 	4, 	5, 	7, 	0, 	0x20, 	-2147483647, 	2147483648,		1, 			0x2005,	2147483648 stored: overflow
40,add, 	0x00, 	4, 	5, 	7, 	0, 	0x20, 	-2147483647, 	483647, 		-2147000000,0x00,	-2147483647+483647=-2147000000
44,add, 	0x00, 	4, 	5, 	10,	0, 	0x20, 	2147483648, 	2147483648, 	0, 			0x2005,	2147483648 stored:overflow
48,add, 	0x00, 	4, 	5, 	10,	0, 	0x20, 	2147483647, 	2147483648, 	-1, 		0x00,	2147483647 - 2147483648 = -1
52,add, 	0x00, 	4, 	5, 	7, 	0, 	0x20, 	1073741824, 	1073741824, 	2147483648, 0x2005,	overflow
56,add, 	0x00, 	0, 	5, 	7, 	0, 	0x20, 	1073741824, 	1073741824, 	1073741824, 0x00,	can't store number in 0reg
60,add, 	0x00, 	0, 	5, 	7, 	4, 	0x20, 	X, 				X, 				X, 			0x2004,	shift not 0
64,addu, 	0x00, 	4, 	5, 	7, 	0, 	0x21, 	40, 			50, 			90, 		0x00, 	40+50=90
68,addu, 	0x00, 	4, 	5, 	7, 	0, 	0x21,-1, 			-1, 			-2, 		0x00,	(-1)+(-1)=-2
72,addu, 	0x00, 	4, 	5, 	7, 	0, 	0x21,0, 				46746, 			46746, 		0x00,	46746 + 0 = 46746
76,addu, 	0x00, 	4, 	5, 	0, 	0, 	0x21,0, 				46746, 			0, 			0x00,	0 dest reg remains 0
80,addu, 	0x00, 	4, 	5, 	31,	0, 	0x21,-300, 			250, 			-50, 		0x00,	-300+250=-50
84,addu, 	0x00, 	4, 	5, 	9, 	0, 	0x21,-300, 			-250, 			-550, 		0x00,	-300+250=-550
88,addu, 	0x00, 	4, 	5, 	7, 	0, 	0x21, 	2147483647, 	2147483647, 	-2, 		0x00,	2147483647+2147483647=-2
92,addu, 	0x00, 	4, 	5, 	7, 	0, 	0x21, 	-2147483648, 	-2147483648, 	0, 			0x00,	80000000 + 80000000 = 0 overflow
96,addu, 	0x00, 	4, 	5, 	7, 	0, 	0x21, 	-2147483647, 	483647, 		-2147000000,0x00,	-2147483647+483647=-2147000000
100,addu, 	0x00, 	4, 	5, 	10,	0, 	0x21, 	2147483648, 	2147483648, 	0, 			0x00,	2147483648 stored:
104,addu, 	0x00, 	4, 	5, 	7, 	0, 	0x21, 	1073741824, 	1073741824, 	2147483648, 0x00,	no overflow
108,addu, 	0x00, 	0, 	5, 	7, 	4, 	0x20, 	X, 				X, 				X, 			0x2004,	shift not 0
112,sub, 	0x00, 	4, 	5, 	7, 	0, 	0x22, 	40, 			50, 			-10, 		0x00, 	40-50 = -10
116,sub, 	0x00, 	4, 	5, 	7, 	0, 	0x22, 	200, 			50, 			150, 		0x00, 	200-50 = 150
120,sub, 	0x00, 	4, 	5, 	7, 	0, 	0x22,-1, 			-1, 			0, 			0x00,	(-1)-(-1)=0
124,sub, 	0x00, 	4, 	5, 	7, 	0, 	0x22,0, 				46746, 			-46746, 	0x00,	-46746 + 0 = -46746
128,sub, 	0x00, 	4, 	5, 	0, 	0, 	0x22,0, 				46746, 			0, 			0x00,	0 dest reg remains 0
